hierarchial cluster,,,Class,Title,Description,km cluster,hierarchial cluster,tsne-2d-one-km,tsne-2d-two-km,tsne-2d-one-hc,tsne-2d-two-hc
2,3,75871,3,Whitbread to sell historic brewery,"WHITBREAD #39;S new chief executive Alan Parker today made his first mark on the leisure giant, unveiling 800m of disposals and plans to sell its historic brewery on Chiswell Street.",3,2,0.27205953,0.7964425,0.27205953,0.7964425
2,3,65323,3,"Coke, Bottler and EU Reach Antitrust Deal"," ATLANTA (Reuters) - Coca-Cola Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KO.N target=/stocks/quickinfo/fullquote""&gt;KO.N&lt;/A&gt; and its largest  bottler, Coca-Cola Enterprises Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CCE.N target=/stocks/quickinfo/fullquote""&gt;CCE.N&lt;/A&gt;, said on Tuesday  they had reached an agreement to settle a five-year antitrust  case with the European Commission.",0,2,2.946268,1.2395072,2.946268,1.2395072
2,1,9428,1,More delays for British Airways passengers in London (AFP),AFP - British Airways cancelled four more flights due to what it called lingering problems from a staff shortage at London's Heathrow Airport which delayed thousands of travellers earlier in the week.,0,2,0.010100749,0.47764766,0.010100749,0.47764766
3,4,60826,4,New Russian-U.S. Crew Heads Into Space (AP),"AP - A new Russian-U.S. crew headed to the international space station Thursday, surging into orbit aboard a Soyuz spacecraft none of the three astronauts has piloted before.",3,3,-0.6645441,-3.0037942,-0.6645441,-3.0037942
3,4,71490,4,Hackers Pull Out Nasty Trick From Hat,An e-mail that tricks Linux users to download a fake update from Red Hats security team is currently doing the rounds of the Internet.,1,3,1.5901535,2.5501976,1.5901535,2.5501976
3,4,42382,4,"Jeanne Costs Money, Time at Florida Spaceport (Reuters)",Reuters - Jeanne was the third\hurricane in six weeks to damage Florida's Kennedy Space Center\but NASA would not say on Monday whether the damage will set\back plans to resume space shuttle flights next March.,1,3,-0.5853609,-2.8127038,-0.5853609,-2.8127038
3,4,39318,4,NASA Says Space Station Running Low on Oxygen,"By MARCIA DUNN    CAPE CANAVERAL, Fla. (AP) -- Oxygen and food will be worrisomely low on the international space station by Christmas, and it's crucial that a Russian supply ship get there by then, a top NASA official said Friday...",0,3,-0.71112174,-3.016974,-0.71112174,-3.016974
3,4,57752,4,NASA Says Repairs Have Lessened Worries About Shortages,"As a new crew prepares to lift off tomorrow for the international space station, NASA officials say they are less worried than they were two weeks ago about problems with its oxygen generator and growing shortages of food and spare parts.",1,3,-0.6644758,-2.850677,-0.6644758,-2.850677
3,4,52100,4,Can Skype Cash In On Free?,NEW YORK - Skype Technologies made a name for itself providing a free Internet telephone program to users around the world. Now it #39;s time to cash in.,3,3,1.6730998,1.8545797,1.6730998,1.8545797
3,4,79420,4,Air and Space museum expands offerings once again,"CHANTILLY, Virginia - Yesterday, the Smithsonian took the wraps off a new hangar where visitors can get close to a space shuttle. The space shuttle Enterprise is now on exhibit, the museum #39;s second-largest artifact after the Concorde.",3,3,-0.5685915,-2.837295,-0.5685915,-2.837295
3,4,54002,4,NASA will cover only a fraction of cost of module lost on shuttle,"NASA has turned back an \$87.7 million claim by Spacehab for equipment lost on the shuttle Columbia, but the company may appeal. Spacehab officials said Thursday that NASA #39;s rejection was ",1,3,-0.44600335,-2.5161488,-0.44600335,-2.5161488
3,4,118903,4,Task force should clear shuttle for launch,"NASA appears on track to return the space shuttle to flight in May or June 2005 as planned, says an influential oversight panel. The independent task force - set up to oversee NASA #39;s efforts following the ",1,3,-0.5061205,-2.6717417,-0.5061205,-2.6717417
3,4,20138,4,Space Shuttles Survive Hurricane Frances,"maggeth writes  quot;In an update to a previous story, NASA damage assessment teams have begun work at the Kennedy Space Center, which was hit by Hurricane Frances.",1,3,-0.45619228,-2.5933363,-0.45619228,-2.5933363
