km cluster,,,Class,Title,Description,km cluster
1,4,91594,4,Philly has big plans for Wi-Fi,"In September, the city of Philadelphia announced its plans to invest in a new wireless mesh network based on the current Wi-Fi 802.11b standard. By deploying Wi-Fi antennae on streetlights and other traffic control devices, city officials hope they can turn all 135 square miles of Philadelphia into the world's largest wireless Internet hot spot, according to a press release on the city's website.",1
1,3,6405,3,Competition rules could scupper Abbey deal,"The Spanish bank poised to take over Britain #39;s Abbey National will walk away if the 8.2bn (12.1bn) deal is stalled by competition concerns, it was reported today.",1
1,3,49140,3,Siebel Sees Revenue Beating Estimates,"Business software maker Siebel Systems Inc. (SEBL.O: Quote, Profile, Research) on Monday said third-quarter revenue would beat Wall Street estimates, sending its shares up 17 percent in pre-market trade.",1
1,2,28743,2,Blackhawks Re-Sign Goalie Leighton (AP),AP - The Chicago Blackhawks re-signed goaltender Michael Leighton to a one-year contract Wednesday.,1
2,2,18751,2,A close battle for No. 1 (minus the polls),"NORTON, MASS. - Forget college football: The best battle for No. 1 might be taking place on a golf course outside of Boston. Vijay Singh - the No.",2
2,2,48128,2,Easy does it as Els retains WGC lead,"Ernie Els held off some early charges under blustery conditions yesterday and shot a 4-under-par 68 to finish where he started -- with a two-stroke lead at the American Express Championship at Thomastown, Ireland, and in great shape to win the World Golf Championship for the first time. Els bounced back from a bogey at No. 9 -- his only ...",2
2,2,116854,2,City prepared to sell 5million Anelka in the New Year,Manchester City Football Club are prepared to sell Nicolas Anelka in the New Year transfer window. The controversial French striker was blasted by the City fans at the weekend following his comments he wants ,2
2,2,13269,2,Canadian Despatie leads heading into 10-metre tower final at &lt;b&gt;...&lt;/b&gt;,ATHENS (CP) - Canadian diver Alexandre Despatie lost his bid for a second medal in Athens after finishing fourth Saturday in the men #39;s 10-metre tower.,2
2,2,116405,2,Demtchenko of Russia Wins Men's Luge (AP),AP - Albert Demtchenko of Russia won the men's singles Sunday to break up a sweep by the powerful German team of all five races at a Luge World Cup event.,2
2,2,70190,2,Schilling Gets Ankle Stitched Again (AP),"AP - Pitchers have dipped their fingers in pickle brine to ward off blisters, gotten cortisone shots in their shoulders or elbows, had their hamstrings wrapped in yards of tape.",2
2,2,13642,2,Focal point,"Mary Joe Fernandez was always known as a thoughtful, deliberate tennis player. And one of her most intelligent moves, she'll agree, came in 1999, toward the end of her decade-long career, when she was training at the Nick Bollettieri Tennis Academy in Florida and was asked to play a practice set against a 12-year-old upstart Russian named Maria Sharapova.  quot;I ...",2
2,2,39951,2,Unhappy ending for BC vs. Wake Forest,"There was no escaping the sense of deja vu. For the second year in a row, Boston College suffered its first loss of the season against the same Atlantic Coast Conference opponent in almost the same way: on a long touchdown pass in the waning moments.",2
2,2,66516,2,XM Satellite Radio Signs Baseball Deal,"com. XM Satellite Radio Holdings Inc. on Wednesday said it has signed an 11-year, \$650 million deal to broadcast Major League Baseball games beginning with the 2005 season.",2
2,2,75904,2,Campbell delivers win,ATLANTA - Let there be no doubt: The Auburn football team is the undisputed champion of the Southeastern Conference. And let it be written that Jason Campbell made it so.,2
3,4,26000,4,"A Great Phone, Tied Down","NEW YORK - When it comes to selecting a wireless phone for myself to use, I have in the past been a bit of a neo-Luddite. Sure, as part of this job I get to play with all the very latest and greatest that ",3
3,2,87239,2,"Stottlemyre, Mattingly back in Bronx; Girardi bench coach","Bronx, NY (Sports Network) - Contrary to previous reports, Mel Stottlemyre will return to the New York Yankees as their pitching coach for the 2005 season.",3
3,4,51961,4,Nokia and Land Rover offfer advanced handsfree solution,"Nokia and Land Rover have jointly developed a Personal Telephone Integration (PTI) System, an integrated automotive communications solution for Land Rover vehicles such as the new Discovery 3 and Range Rover.",3
3,4,92483,4,Sun Launches Free Solaris 10 With Tiered Subscriptions,"Sun Microsystems formally launched its Solaris 10 operating-system upgrade on Monday as a free, more advanced, multiplatform OS alternative to Red Hat Linux, with backing from new partners such as eGenera and SAP.",3
3,3,1441,3,"Stocks Open Higher on Housing, CPI Data", NEW YORK (Reuters) - U.S. stocks opened higher on Tuesday  after two separate reports showed inflationary pressure was  held in check in July and U.S. housing starts rebounded sharply  in the same month.,3
3,4,71811,4,Seagate hopes for big splash with small drives,"One of the new drives is just 3 inches in diameter, features a retractable USB cable for easy carrying and can store 5GB of data.\",3
3,2,21238,2,Serena Blasts Umpire After Dramatic Defeat," NEW YORK (Reuters) - Bitter, angry, upset and cheated were  a few of the words Serena Williams used to describe her  feelings after a controversial quarter-final defeat by fellow  American Jennifer Capriati at the U.S. Open on Tuesday.",3
3,2,12253,2,"Steroid rage Swift, decisive action can save baseballs image",New York Yankee Jason Giambi was outted as a cheat last week by the San Francisco Chronicle. The paper obtained federal grand jury testimony that Giambi admitted what most people already believed: hed taken ,3
3,3,86460,3,"US stocks: Dow dips, Nasdaq up in wait for word on rates","NEW YORK - The blue-chip Dow average ended slightly lower, while the tech-driven Nasdaq inched higher on Tuesday as investors waited for hints from the Federal Reserve about the pace of interest-rate increases on Wednesday.",3
3,4,108630,4,Napster Creator Unleashes New File Sharing Service,Napster Creator Unleashes New File Sharing Service\,3
